employee_id,guide_id,task_id,role,department,task_order,phase,category,task_name,task_description,task_owner,action_required_by,required,status,joining_date,due_date,is_overdue,evidence,issue_text,ml_target_category,ml_match_score,confidence_band,approved_next_step,next_step_owner,employee_action,reminder_template,escalation_rule,reviewer_action,review_timestamp,source_type,source_reference,ml_text
EMP-001,G003,G003-T11,Frontend Developer,Engineering,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Manager,Employee,True,Pending,2026-09-04,2026-09-05,True,,Meet reporting manager is pending.,Manager Setup,0.95,High / Usable,Complete the manager onboarding meeting,Employee,Take action,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,None,2026-09-12T02:08:00,Synthetic onboarding guide,G003,Meet reporting manager is pending. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.
EMP-001,G003,G003-T12,Frontend Developer,Engineering,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Manager,Employee,True,Completed,2026-09-04,2026-09-07,False,Team introduction confirmation,Onboarding item 'Complete team introduction' is currently completed.,Team Integration,0.86,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your team introductions.,Escalate to manager if not completed.,None,2026-09-11T16:22:00,Synthetic onboarding guide,G003,Onboarding item 'Complete team introduction' is currently completed. Meet key team members and understand team communication and collaboration practices.
EMP-001,G003,G003-T13,Frontend Developer,Engineering,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Manager,Employee,True,Pending,2026-09-04,2026-09-09,True,,Employee has pending status for review role-specific onboarding plan.,Onboarding Plan,0.82,High / Usable,Review the role-specific onboarding plan,Employee,Take action,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,None,2026-09-12T04:51:00,Synthetic onboarding guide,G003,"Employee has pending status for review role-specific onboarding plan. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager."
EMP-001,G003,G003-T14,Frontend Developer,Engineering,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,IT,Employee,True,Completed,2026-09-04,2026-09-09,False,Access confirmation or access issue,Confirm required access needs attention; current status is completed.,Access Management,0.92,High / Usable,No action required; task is complete.,Employee,No employee action,Please confirm that you can access the required systems.,Escalate missing access to IT.,None,2026-09-10T05:53:00,Synthetic onboarding guide,G003,Confirm required access needs attention; current status is completed. Employee confirms that all required systems and applications are accessible and reports missing access.
EMP-001,G003,G003-T15,Frontend Developer,Engineering,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Manager,Employee,True,Completed,2026-09-04,2026-09-11,False,Check-in confirmation,Complete first-week check-in needs attention; current status is completed.,Manager Setup,0.89,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your first-week manager check-in.,Escalate to manager if not completed.,None,2026-09-15T23:11:00,Synthetic onboarding guide,G003,"Complete first-week check-in needs attention; current status is completed. Complete a structured check-in with the manager to review progress, blockers and next priorities."
EMP-001,G003,G003-T16,Frontend Developer,Engineering,16,Role Setup,Engineering Access,Get frontend repository access,Receive access to frontend repositories and component libraries.,IT,IT,True,Completed,2026-09-04,2026-09-07,False,Task completion confirmation,Employee has completed status for get frontend repository access.,Engineering Access,0.93,High / Usable,No action required; task is complete.,IT,No employee action,Please complete the required onboarding task: Get frontend repository access.,Escalate to the role manager if Get frontend repository access is overdue.,None,2026-09-13T18:51:00,Synthetic role-specific guide,G003,Employee has completed status for get frontend repository access. Receive access to frontend repositories and component libraries.
EMP-001,G003,G003-T17,Frontend Developer,Engineering,17,Role Setup,Development Environment,Set up frontend development environment,Install and validate approved frontend tools and dependencies.,IT,Employee,True,Pending,2026-09-04,2026-09-09,True,,Set up frontend development environment needs attention; current status is pending.,Development Environment,0.88,High / Usable,Complete or confirm: Set up frontend development environment,Employee,Take action,Please complete the required onboarding task: Set up frontend development environment.,Escalate to the role manager if Set up frontend development environment is overdue.,None,2026-09-11T02:17:00,Synthetic role-specific guide,G003,Set up frontend development environment needs attention; current status is pending. Install and validate approved frontend tools and dependencies.
EMP-001,G003,G003-T18,Frontend Developer,Engineering,18,Role Setup,Design System,Review UI component and design system,Review the approved component library and design standards.,Manager,Employee,True,Pending,2026-09-04,2026-09-09,True,,Review UI component and design system is pending.,Design System,0.96,High / Usable,Complete or confirm: Review UI component and design system,Employee,Take action,Please complete the required onboarding task: Review UI component and design system.,Escalate to the role manager if Review UI component and design system is overdue.,None,2026-09-10T15:06:00,Synthetic role-specific guide,G003,Review UI component and design system is pending. Review the approved component library and design standards.
EMP-002,G050,G050-T01,Compliance Officer,Compliance,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,HR,Employee,True,Completed,2026-09-14,2026-09-14,False,Identity documents submitted,Submit identity verification documents needs attention; current status is completed.,Identity & Compliance,0.77,High / Usable,No action required; task is complete.,HR,No employee action,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,None,2026-09-12T05:30:00,Synthetic onboarding guide,G050,Submit identity verification documents needs attention; current status is completed. Upload the required identity documents for employment verification.
EMP-002,G050,G050-T02,Compliance Officer,Compliance,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,HR,Employee,True,Pending,2026-09-14,2026-09-14,False,,Onboarding item 'Review and sign employment agreement' is currently incomplete.,Employment,0.87,High / Usable,Complete and sign the employment agreement,HR,Take action,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,None,2026-09-15T08:20:00,Synthetic onboarding guide,G050,Onboarding item 'Review and sign employment agreement' is currently incomplete. Review the employment agreement and electronically sign it before the joining date.
EMP-002,G050,G050-T03,Compliance Officer,Compliance,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Finance/HR,Employee,True,Completed,2026-09-14,2026-09-15,False,Payroll information submitted,Submit payroll and bank information needs attention; current status is completed.,Payroll,0.84,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,None,2026-09-12T12:59:00,Synthetic onboarding guide,G050,Submit payroll and bank information needs attention; current status is completed. Provide the approved payroll information required to process salary payments.
EMP-002,G050,G050-T04,Compliance Officer,Compliance,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,HR,Employee,True,Pending,2026-09-14,2026-09-15,False,,Complete employee information form needs attention; current status is pending.,HR Forms,0.73,High / Usable,Complete the employee information form,Employee,Take action,Please complete your employee information form.,Escalate to HR if incomplete.,None,2026-09-12T16:01:00,Synthetic onboarding guide,G050,Complete employee information form needs attention; current status is pending. Complete required employee profile and emergency-contact information using the onboarding form.
EMP-002,G050,G050-T05,Compliance Officer,Compliance,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,HR,Employee,True,Pending,2026-09-14,2026-09-16,False,,Employee has incomplete status for acknowledge company policies.,Policy,0.77,High / Usable,Review and acknowledge required policies,Employee,Take action,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,None,2026-09-13T01:18:00,Synthetic onboarding guide,G050,Employee has incomplete status for acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.
EMP-002,G050,G050-T06,Compliance Officer,Compliance,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,True,Pending,2026-09-14,2026-09-15,False,,Create company email account is incomplete.,IT Access,0.75,High / Usable,IT should create and activate the company email,IT,No employee action,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,None,2026-09-12T01:08:00,Synthetic onboarding guide,G050,Create company email account is incomplete. IT creates the employee's corporate email account and confirms activation.
EMP-002,G050,G050-T07,Compliance Officer,Compliance,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,True,Completed,2026-09-14,2026-09-16,False,Device assignment confirmation,Provision laptop/workstation needs attention; current status is completed.,IT Equipment,0.85,High / Usable,No action required; task is complete.,IT,No employee action,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,None,2026-09-11T20:25:00,Synthetic onboarding guide,G050,Provision laptop/workstation needs attention; current status is completed. IT prepares the approved laptop or workstation and records the device assignment.
EMP-002,G050,G050-T08,Compliance Officer,Compliance,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,True,Completed,2026-09-14,2026-09-16,False,Access provisioning record,Provision standard system access is completed.,Access Management,0.8,High / Usable,No action required; task is complete.,IT,No employee action,Your standard system access is being prepared.,Escalate to IT if access is overdue.,None,2026-09-13T04:21:00,Synthetic onboarding guide,G050,Provision standard system access is completed. IT provisions the standard applications and access required for the employee's role.
EMP-002,G050,G050-T09,Compliance Officer,Compliance,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",HR,Employee,True,Completed,2026-09-14,2026-09-14,False,Orientation attendance,Attend company orientation needs attention; current status is completed.,Orientation,0.8,High / Usable,No action required; task is complete.,Employee,No employee action,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,None,2026-09-11T18:28:00,Synthetic onboarding guide,G050,"Attend company orientation needs attention; current status is completed. Attend the company orientation covering organization, workplace practices and key contacts."
EMP-002,G050,G050-T10,Compliance Officer,Compliance,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Security,Employee,True,Pending,2026-09-14,2026-09-15,False,,Complete security awareness training needs attention; current status is pending.,Security,0.79,High / Usable,Complete security awareness training,Employee,Take action,Please complete the required security training.,Escalate to Security/HR if overdue.,None,2026-09-16T01:29:00,Synthetic onboarding guide,G050,Complete security awareness training needs attention; current status is pending. Complete mandatory security and acceptable-use training before full access is granted.
EMP-002,G050,G050-T11,Compliance Officer,Compliance,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Manager,Employee,True,Completed,2026-09-14,2026-09-15,False,Manager meeting confirmation,Meet reporting manager is completed.,Manager Setup,0.88,High / Usable,No action required; task is complete.,Employee,No employee action,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,None,2026-09-15T23:12:00,Synthetic onboarding guide,G050,Meet reporting manager is completed. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.
EMP-002,G050,G050-T12,Compliance Officer,Compliance,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Manager,Employee,True,Pending,2026-09-14,2026-09-17,False,,Complete team introduction needs attention; current status is pending.,Team Integration,0.81,High / Usable,Complete the team introduction activities,Employee,Take action,Please complete your team introductions.,Escalate to manager if not completed.,None,2026-09-13T10:03:00,Synthetic onboarding guide,G050,Complete team introduction needs attention; current status is pending. Meet key team members and understand team communication and collaboration practices.
EMP-002,G050,G050-T13,Compliance Officer,Compliance,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Manager,Employee,True,Completed,2026-09-14,2026-09-19,False,Onboarding plan acknowledgement,Onboarding item 'Review role-specific onboarding plan' is currently completed.,Onboarding Plan,0.86,High / Usable,No action required; task is complete.,Employee,No employee action,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,None,2026-09-14T04:25:00,Synthetic onboarding guide,G050,"Onboarding item 'Review role-specific onboarding plan' is currently completed. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager."
EMP-002,G050,G050-T14,Compliance Officer,Compliance,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,IT,Employee,True,Pending,2026-09-14,2026-09-19,False,,Employee has incomplete status for confirm required access.,Access Management,0.81,High / Usable,Confirm required system access,Employee,Take action,Please confirm that you can access the required systems.,Escalate missing access to IT.,None,2026-09-12T12:31:00,Synthetic onboarding guide,G050,Employee has incomplete status for confirm required access. Employee confirms that all required systems and applications are accessible and reports missing access.
EMP-002,G050,G050-T15,Compliance Officer,Compliance,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Manager,Employee,True,Pending,2026-09-14,2026-09-21,False,,Complete first-week check-in needs attention; current status is incomplete.,Manager Setup,0.81,High / Usable,Complete the manager check-in,Employee,Take action,Please complete your first-week manager check-in.,Escalate to manager if not completed.,None,2026-09-13T20:11:00,Synthetic onboarding guide,G050,"Complete first-week check-in needs attention; current status is incomplete. Complete a structured check-in with the manager to review progress, blockers and next priorities."
EMP-002,G050,G050-T16,Compliance Officer,Compliance,16,Role Setup,Compliance Systems,Get compliance system access,Receive approved access to compliance and reporting tools.,IT,IT,True,Completed,2026-09-14,2026-09-17,False,Task completion confirmation,Onboarding item 'Get compliance system access' is currently completed.,Compliance Systems,0.85,High / Usable,No action required; task is complete.,IT,No employee action,Please complete the required onboarding task: Get compliance system access.,Escalate to the role manager if Get compliance system access is overdue.,None,2026-09-14T00:24:00,Synthetic role-specific guide,G050,Onboarding item 'Get compliance system access' is currently completed. Receive approved access to compliance and reporting tools.
EMP-002,G050,G050-T17,Compliance Officer,Compliance,17,Role Setup,Compliance Knowledge,Review compliance obligations,"Review applicable obligations, controls and reporting responsibilities.",Compliance Manager,Employee,True,Pending,2026-09-14,2026-09-19,False,,Employee has incomplete status for review compliance obligations.,Compliance Knowledge,0.88,High / Usable,Complete or confirm: Review compliance obligations,Employee,Take action,Please complete the required onboarding task: Review compliance obligations.,Escalate to the role manager if Review compliance obligations is overdue.,None,2026-09-10T20:51:00,Synthetic role-specific guide,G050,"Employee has incomplete status for review compliance obligations. Review applicable obligations, controls and reporting responsibilities."
EMP-002,G050,G050-T18,Compliance Officer,Compliance,18,Role Setup,Compliance Process,Review issue escalation process,Review approved compliance issue reporting and escalation procedures.,Compliance Manager,Employee,True,Completed,2026-09-14,2026-09-19,False,Task completion confirmation,Review issue escalation process is completed.,Compliance Process,0.89,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete the required onboarding task: Review issue escalation process.,Escalate to the role manager if Review issue escalation process is overdue.,None,2026-09-16T03:37:00,Synthetic role-specific guide,G050,Review issue escalation process is completed. Review approved compliance issue reporting and escalation procedures.
EMP-003,G037,G037-T01,Operations Manager,Operations,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,HR,Employee,True,Completed,2026-09-22,2026-09-22,False,Identity documents submitted,Submit identity verification documents is completed.,Identity & Compliance,0.97,High / Usable,No action required; task is complete.,HR,No employee action,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,None,2026-09-11T16:26:00,Synthetic onboarding guide,G037,Submit identity verification documents is completed. Upload the required identity documents for employment verification.
EMP-003,G037,G037-T02,Operations Manager,Operations,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,HR,Employee,True,Completed,2026-09-22,2026-09-22,False,Signed employment agreement,Review and sign employment agreement is completed.,Employment,0.92,High / Usable,No action required; task is complete.,HR,No employee action,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,None,2026-09-12T03:08:00,Synthetic onboarding guide,G037,Review and sign employment agreement is completed. Review the employment agreement and electronically sign it before the joining date.
EMP-003,G037,G037-T03,Operations Manager,Operations,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Finance/HR,Employee,True,Completed,2026-09-22,2026-09-23,False,Payroll information submitted,Employee has completed status for submit payroll and bank information.,Payroll,0.9,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,None,2026-09-10T17:14:00,Synthetic onboarding guide,G037,Employee has completed status for submit payroll and bank information. Provide the approved payroll information required to process salary payments.
EMP-003,G037,G037-T04,Operations Manager,Operations,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,HR,Employee,True,Completed,2026-09-22,2026-09-23,False,Completed HR form,Employee has completed status for complete employee information form.,HR Forms,0.89,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your employee information form.,Escalate to HR if incomplete.,None,2026-09-12T07:58:00,Synthetic onboarding guide,G037,Employee has completed status for complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.
EMP-003,G037,G037-T05,Operations Manager,Operations,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,HR,Employee,True,Completed,2026-09-22,2026-09-24,False,Policy acknowledgement,Onboarding item 'Acknowledge company policies' is currently completed.,Policy,0.85,High / Usable,No action required; task is complete.,Employee,No employee action,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,None,2026-09-16T07:49:00,Synthetic onboarding guide,G037,Onboarding item 'Acknowledge company policies' is currently completed. Review and acknowledge the required employee policies and code of conduct.
EMP-003,G037,G037-T06,Operations Manager,Operations,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,True,Completed,2026-09-22,2026-09-23,False,Email activation confirmation,Create company email account is completed.,IT Access,0.94,High / Usable,No action required; task is complete.,IT,No employee action,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,None,2026-09-11T06:43:00,Synthetic onboarding guide,G037,Create company email account is completed. IT creates the employee's corporate email account and confirms activation.
EMP-003,G037,G037-T07,Operations Manager,Operations,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,True,Completed,2026-09-22,2026-09-24,False,Device assignment confirmation,Onboarding item 'Provision laptop/workstation' is currently completed.,IT Equipment,0.84,High / Usable,No action required; task is complete.,IT,No employee action,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,None,2026-09-09T17:00:00,Synthetic onboarding guide,G037,Onboarding item 'Provision laptop/workstation' is currently completed. IT prepares the approved laptop or workstation and records the device assignment.
EMP-003,G037,G037-T08,Operations Manager,Operations,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,True,Completed,2026-09-22,2026-09-24,False,Access provisioning record,Onboarding item 'Provision standard system access' is currently completed.,Access Management,0.91,High / Usable,No action required; task is complete.,IT,No employee action,Your standard system access is being prepared.,Escalate to IT if access is overdue.,None,2026-09-13T16:29:00,Synthetic onboarding guide,G037,Onboarding item 'Provision standard system access' is currently completed. IT provisions the standard applications and access required for the employee's role.
EMP-003,G037,G037-T09,Operations Manager,Operations,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",HR,Employee,True,Completed,2026-09-22,2026-09-22,False,Orientation attendance,Attend company orientation needs attention; current status is completed.,Orientation,0.97,High / Usable,No action required; task is complete.,Employee,No employee action,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,None,2026-09-11T16:09:00,Synthetic onboarding guide,G037,"Attend company orientation needs attention; current status is completed. Attend the company orientation covering organization, workplace practices and key contacts."
EMP-003,G037,G037-T10,Operations Manager,Operations,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Security,Employee,True,Completed,2026-09-22,2026-09-23,False,Training completion record,Complete security awareness training is completed.,Security,0.91,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete the required security training.,Escalate to Security/HR if overdue.,None,2026-09-12T04:18:00,Synthetic onboarding guide,G037,Complete security awareness training is completed. Complete mandatory security and acceptable-use training before full access is granted.
EMP-003,G037,G037-T11,Operations Manager,Operations,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Manager,Employee,True,Pending,2026-09-22,2026-09-23,False,,Meet reporting manager is pending.,Manager Setup,0.93,High / Usable,Complete the manager onboarding meeting,Employee,Take action,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,None,2026-09-12T20:21:00,Synthetic onboarding guide,G037,Meet reporting manager is pending. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.
EMP-003,G037,G037-T12,Operations Manager,Operations,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Manager,Employee,True,Completed,2026-09-22,2026-09-25,False,Team introduction confirmation,Complete team introduction is completed.,Team Integration,0.95,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your team introductions.,Escalate to manager if not completed.,None,2026-09-15T20:32:00,Synthetic onboarding guide,G037,Complete team introduction is completed. Meet key team members and understand team communication and collaboration practices.
EMP-003,G037,G037-T13,Operations Manager,Operations,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Manager,Employee,True,Completed,2026-09-22,2026-09-27,False,Onboarding plan acknowledgement,Review role-specific onboarding plan is completed.,Onboarding Plan,0.88,High / Usable,No action required; task is complete.,Employee,No employee action,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,None,2026-09-14T06:58:00,Synthetic onboarding guide,G037,"Review role-specific onboarding plan is completed. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager."
EMP-003,G037,G037-T14,Operations Manager,Operations,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,IT,Employee,True,Completed,2026-09-22,2026-09-27,False,Access confirmation or access issue,Onboarding item 'Confirm required access' is currently completed.,Access Management,0.83,High / Usable,No action required; task is complete.,Employee,No employee action,Please confirm that you can access the required systems.,Escalate missing access to IT.,None,2026-09-13T07:10:00,Synthetic onboarding guide,G037,Onboarding item 'Confirm required access' is currently completed. Employee confirms that all required systems and applications are accessible and reports missing access.
EMP-003,G037,G037-T15,Operations Manager,Operations,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Manager,Employee,True,Completed,2026-09-22,2026-09-29,False,Check-in confirmation,Complete first-week check-in is completed.,Manager Setup,0.96,High / Usable,No action required; task is complete.,Employee,No employee action,Please complete your first-week manager check-in.,Escalate to manager if not completed.,None,2026-09-14T23:51:00,Synthetic onboarding guide,G037,"Complete first-week check-in is completed. Complete a structured check-in with the manager to review progress, blockers and next priorities."
