guide_id,role,department,seniority,job_family,task_id,task_order,phase,category,task_name,task_description,action_required_by,task_owner,due_offset_days,required,expected_evidence,approved_next_step,next_step_owner,reminder_template,escalation_rule,source_type,source_reference,ml_training_text
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T11,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Employee,Manager,1,True,Manager meeting confirmation,Complete the manager onboarding meeting,Employee,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,Synthetic onboarding guide,G001,Software Engineer. Meet reporting manager. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.. Owner: Manager.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T12,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Employee,Manager,3,True,Team introduction confirmation,Complete the team introduction activities,Employee,Please complete your team introductions.,Escalate to manager if not completed.,Synthetic onboarding guide,G001,Software Engineer. Complete team introduction. Meet key team members and understand team communication and collaboration practices.. Owner: Manager.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T13,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Employee,Manager,5,True,Onboarding plan acknowledgement,Review the role-specific onboarding plan,Employee,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,Synthetic onboarding guide,G001,"Software Engineer. Review role-specific onboarding plan. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.. Owner: Manager."
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T14,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,Employee,IT,5,True,Access confirmation or access issue,Confirm required system access,Employee,Please confirm that you can access the required systems.,Escalate missing access to IT.,Synthetic onboarding guide,G001,Software Engineer. Confirm required access. Employee confirms that all required systems and applications are accessible and reports missing access.. Owner: IT.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T15,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Employee,Manager,7,True,Check-in confirmation,Complete the manager check-in,Employee,Please complete your first-week manager check-in.,Escalate to manager if not completed.,Synthetic onboarding guide,G001,"Software Engineer. Complete first-week check-in. Complete a structured check-in with the manager to review progress, blockers and next priorities.. Owner: Manager."
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T16,16,Role Setup,Engineering Access,Get source-code repository access,Receive access to the engineering repositories required for the role.,IT,IT,3,True,Task completion confirmation,Complete or confirm: Get source-code repository access,IT,Please complete the required onboarding task: Get source-code repository access.,Escalate to the role manager if Get source-code repository access is overdue.,Synthetic role-specific guide,G001,Software Engineer. Get source-code repository access. Receive access to the engineering repositories required for the role.. Owner: IT.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T17,17,Role Setup,Development Environment,Complete local development environment setup,Install and validate the approved development tools and dependencies.,Employee,IT,5,True,Task completion confirmation,Complete or confirm: Complete local development environment setup,Employee,Please complete the required onboarding task: Complete local development environment setup.,Escalate to the role manager if Complete local development environment setup is overdue.,Synthetic role-specific guide,G001,Software Engineer. Complete local development environment setup. Install and validate the approved development tools and dependencies.. Owner: IT.
G001,Software Engineer,Engineering,Individual Contributor,Technical,G001-T18,18,Role Setup,Engineering Process,"Review branching, code review and release workflow",Review the team's engineering workflow and contribution standards.,Employee,Manager,5,True,Task completion confirmation,"Complete or confirm: Review branching, code review and release workflow",Employee,"Please complete the required onboarding task: Review branching, code review and release workflow.","Escalate to the role manager if Review branching, code review and release workflow is overdue.",Synthetic role-specific guide,G001,"Software Engineer. Review branching, code review and release workflow. Review the team's engineering workflow and contribution standards.. Owner: Manager."
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G002,Senior Software Engineer. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G002,Senior Software Engineer. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G002,Senior Software Engineer. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G002,Senior Software Engineer. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G002,Senior Software Engineer. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G002,Senior Software Engineer. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G002,Senior Software Engineer. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G002,Senior Software Engineer. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T09,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",Employee,HR,0,True,Orientation attendance,Attend the company orientation,Employee,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,Synthetic onboarding guide,G002,"Senior Software Engineer. Attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts.. Owner: HR."
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T10,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Employee,Security,1,True,Training completion record,Complete security awareness training,Employee,Please complete the required security training.,Escalate to Security/HR if overdue.,Synthetic onboarding guide,G002,Senior Software Engineer. Complete security awareness training. Complete mandatory security and acceptable-use training before full access is granted.. Owner: Security.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T11,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Employee,Manager,1,True,Manager meeting confirmation,Complete the manager onboarding meeting,Employee,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,Synthetic onboarding guide,G002,Senior Software Engineer. Meet reporting manager. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.. Owner: Manager.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T12,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Employee,Manager,3,True,Team introduction confirmation,Complete the team introduction activities,Employee,Please complete your team introductions.,Escalate to manager if not completed.,Synthetic onboarding guide,G002,Senior Software Engineer. Complete team introduction. Meet key team members and understand team communication and collaboration practices.. Owner: Manager.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T13,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Employee,Manager,5,True,Onboarding plan acknowledgement,Review the role-specific onboarding plan,Employee,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,Synthetic onboarding guide,G002,"Senior Software Engineer. Review role-specific onboarding plan. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.. Owner: Manager."
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T14,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,Employee,IT,5,True,Access confirmation or access issue,Confirm required system access,Employee,Please confirm that you can access the required systems.,Escalate missing access to IT.,Synthetic onboarding guide,G002,Senior Software Engineer. Confirm required access. Employee confirms that all required systems and applications are accessible and reports missing access.. Owner: IT.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T15,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Employee,Manager,7,True,Check-in confirmation,Complete the manager check-in,Employee,Please complete your first-week manager check-in.,Escalate to manager if not completed.,Synthetic onboarding guide,G002,"Senior Software Engineer. Complete first-week check-in. Complete a structured check-in with the manager to review progress, blockers and next priorities.. Owner: Manager."
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T16,16,Role Setup,Engineering Access,Get source-code repository access,Receive access to the engineering repositories required for the role.,IT,IT,3,True,Task completion confirmation,Complete or confirm: Get source-code repository access,IT,Please complete the required onboarding task: Get source-code repository access.,Escalate to the role manager if Get source-code repository access is overdue.,Synthetic role-specific guide,G002,Senior Software Engineer. Get source-code repository access. Receive access to the engineering repositories required for the role.. Owner: IT.
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T17,17,Role Setup,Architecture,Review system architecture and service ownership,"Review architecture, service ownership and key technical dependencies.",Employee,Manager,5,True,Task completion confirmation,Complete or confirm: Review system architecture and service ownership,Employee,Please complete the required onboarding task: Review system architecture and service ownership.,Escalate to the role manager if Review system architecture and service ownership is overdue.,Synthetic role-specific guide,G002,"Senior Software Engineer. Review system architecture and service ownership. Review architecture, service ownership and key technical dependencies.. Owner: Manager."
G002,Senior Software Engineer,Engineering,Senior Individual Contributor,Technical,G002-T18,18,Role Setup,Engineering Process,"Review coding, review and release standards",Review engineering standards and release responsibilities.,Employee,Manager,5,True,Task completion confirmation,"Complete or confirm: Review coding, review and release standards",Employee,"Please complete the required onboarding task: Review coding, review and release standards.","Escalate to the role manager if Review coding, review and release standards is overdue.",Synthetic role-specific guide,G002,"Senior Software Engineer. Review coding, review and release standards. Review engineering standards and release responsibilities.. Owner: Manager."
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G003,Frontend Developer. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G003,Frontend Developer. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G003,Frontend Developer. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G003,Frontend Developer. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G003,Frontend Developer. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G003,Frontend Developer. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G003,Frontend Developer. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G003,Frontend Developer. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T09,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",Employee,HR,0,True,Orientation attendance,Attend the company orientation,Employee,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,Synthetic onboarding guide,G003,"Frontend Developer. Attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts.. Owner: HR."
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T10,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Employee,Security,1,True,Training completion record,Complete security awareness training,Employee,Please complete the required security training.,Escalate to Security/HR if overdue.,Synthetic onboarding guide,G003,Frontend Developer. Complete security awareness training. Complete mandatory security and acceptable-use training before full access is granted.. Owner: Security.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T11,11,Day 1,Manager Setup,Meet reporting manager,Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.,Employee,Manager,1,True,Manager meeting confirmation,Complete the manager onboarding meeting,Employee,Please attend your manager onboarding meeting.,Escalate to the manager if not scheduled.,Synthetic onboarding guide,G003,Frontend Developer. Meet reporting manager. Attend the initial meeting with the reporting manager to review responsibilities and first-week priorities.. Owner: Manager.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T12,12,Week 1,Team Integration,Complete team introduction,Meet key team members and understand team communication and collaboration practices.,Employee,Manager,3,True,Team introduction confirmation,Complete the team introduction activities,Employee,Please complete your team introductions.,Escalate to manager if not completed.,Synthetic onboarding guide,G003,Frontend Developer. Complete team introduction. Meet key team members and understand team communication and collaboration practices.. Owner: Manager.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T13,13,Week 1,Onboarding Plan,Review role-specific onboarding plan,"Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.",Employee,Manager,5,True,Onboarding plan acknowledgement,Review the role-specific onboarding plan,Employee,Please review your role-specific onboarding plan.,Escalate to manager if incomplete.,Synthetic onboarding guide,G003,"Frontend Developer. Review role-specific onboarding plan. Review the role-specific responsibilities, tools, goals and onboarding expectations with the manager.. Owner: Manager."
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T14,14,Week 1,Access Management,Confirm required access,Employee confirms that all required systems and applications are accessible and reports missing access.,Employee,IT,5,True,Access confirmation or access issue,Confirm required system access,Employee,Please confirm that you can access the required systems.,Escalate missing access to IT.,Synthetic onboarding guide,G003,Frontend Developer. Confirm required access. Employee confirms that all required systems and applications are accessible and reports missing access.. Owner: IT.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T15,15,Week 2,Manager Setup,Complete first-week check-in,"Complete a structured check-in with the manager to review progress, blockers and next priorities.",Employee,Manager,7,True,Check-in confirmation,Complete the manager check-in,Employee,Please complete your first-week manager check-in.,Escalate to manager if not completed.,Synthetic onboarding guide,G003,"Frontend Developer. Complete first-week check-in. Complete a structured check-in with the manager to review progress, blockers and next priorities.. Owner: Manager."
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T16,16,Role Setup,Engineering Access,Get frontend repository access,Receive access to frontend repositories and component libraries.,IT,IT,3,True,Task completion confirmation,Complete or confirm: Get frontend repository access,IT,Please complete the required onboarding task: Get frontend repository access.,Escalate to the role manager if Get frontend repository access is overdue.,Synthetic role-specific guide,G003,Frontend Developer. Get frontend repository access. Receive access to frontend repositories and component libraries.. Owner: IT.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T17,17,Role Setup,Development Environment,Set up frontend development environment,Install and validate approved frontend tools and dependencies.,Employee,IT,5,True,Task completion confirmation,Complete or confirm: Set up frontend development environment,Employee,Please complete the required onboarding task: Set up frontend development environment.,Escalate to the role manager if Set up frontend development environment is overdue.,Synthetic role-specific guide,G003,Frontend Developer. Set up frontend development environment. Install and validate approved frontend tools and dependencies.. Owner: IT.
G003,Frontend Developer,Engineering,Individual Contributor,Technical,G003-T18,18,Role Setup,Design System,Review UI component and design system,Review the approved component library and design standards.,Employee,Manager,5,True,Task completion confirmation,Complete or confirm: Review UI component and design system,Employee,Please complete the required onboarding task: Review UI component and design system.,Escalate to the role manager if Review UI component and design system is overdue.,Synthetic role-specific guide,G003,Frontend Developer. Review UI component and design system. Review the approved component library and design standards.. Owner: Manager.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T01,1,Preboarding,Identity & Compliance,Submit identity verification documents,Upload the required identity documents for employment verification.,Employee,HR,0,True,Identity documents submitted,Request the missing identity document,HR,Please submit the missing identity document.,Escalate to HR if not submitted within 2 business days.,Synthetic onboarding guide,G004,Backend Developer. Submit identity verification documents. Upload the required identity documents for employment verification.. Owner: HR.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T02,2,Preboarding,Employment,Review and sign employment agreement,Review the employment agreement and electronically sign it before the joining date.,Employee,HR,0,True,Signed employment agreement,Complete and sign the employment agreement,HR,Please review and sign your employment agreement.,Escalate to HR if signature is overdue.,Synthetic onboarding guide,G004,Backend Developer. Review and sign employment agreement. Review the employment agreement and electronically sign it before the joining date.. Owner: HR.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T03,3,Preboarding,Payroll,Submit payroll and bank information,Provide the approved payroll information required to process salary payments.,Employee,Finance/HR,1,True,Payroll information submitted,Submit the missing payroll information,Employee,Please complete your payroll information.,Escalate to HR if payroll information remains missing.,Synthetic onboarding guide,G004,Backend Developer. Submit payroll and bank information. Provide the approved payroll information required to process salary payments.. Owner: Finance/HR.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T04,4,Preboarding,HR Forms,Complete employee information form,Complete required employee profile and emergency-contact information using the onboarding form.,Employee,HR,1,True,Completed HR form,Complete the employee information form,Employee,Please complete your employee information form.,Escalate to HR if incomplete.,Synthetic onboarding guide,G004,Backend Developer. Complete employee information form. Complete required employee profile and emergency-contact information using the onboarding form.. Owner: HR.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T05,5,Preboarding,Policy,Acknowledge company policies,Review and acknowledge the required employee policies and code of conduct.,Employee,HR,2,True,Policy acknowledgement,Review and acknowledge required policies,Employee,Please review and acknowledge the required policies.,Escalate to HR if acknowledgement is overdue.,Synthetic onboarding guide,G004,Backend Developer. Acknowledge company policies. Review and acknowledge the required employee policies and code of conduct.. Owner: HR.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T06,6,Preboarding,IT Access,Create company email account,IT creates the employee's corporate email account and confirms activation.,IT,IT,1,True,Email activation confirmation,IT should create and activate the company email,IT,IT has been asked to activate your company email.,Escalate to IT if activation is overdue.,Synthetic onboarding guide,G004,Backend Developer. Create company email account. IT creates the employee's corporate email account and confirms activation.. Owner: IT.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T07,7,Preboarding,IT Equipment,Provision laptop/workstation,IT prepares the approved laptop or workstation and records the device assignment.,IT,IT,2,True,Device assignment confirmation,IT should provision and assign the workstation,IT,IT needs to complete your workstation setup.,Escalate to IT if provisioning is overdue.,Synthetic onboarding guide,G004,Backend Developer. Provision laptop/workstation. IT prepares the approved laptop or workstation and records the device assignment.. Owner: IT.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T08,8,Preboarding,Access Management,Provision standard system access,IT provisions the standard applications and access required for the employee's role.,IT,IT,2,True,Access provisioning record,IT should provision standard role access,IT,Your standard system access is being prepared.,Escalate to IT if access is overdue.,Synthetic onboarding guide,G004,Backend Developer. Provision standard system access. IT provisions the standard applications and access required for the employee's role.. Owner: IT.
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T09,9,Day 1,Orientation,Attend company orientation,"Attend the company orientation covering organization, workplace practices and key contacts.",Employee,HR,0,True,Orientation attendance,Attend the company orientation,Employee,Please attend your scheduled company orientation.,Escalate to HR if attendance is missing.,Synthetic onboarding guide,G004,"Backend Developer. Attend company orientation. Attend the company orientation covering organization, workplace practices and key contacts.. Owner: HR."
G004,Backend Developer,Engineering,Individual Contributor,Technical,G004-T10,10,Day 1,Security,Complete security awareness training,Complete mandatory security and acceptable-use training before full access is granted.,Employee,Security,1,True,Training completion record,Complete security awareness training,Employee,Please complete the required security training.,Escalate to Security/HR if overdue.,Synthetic onboarding guide,G004,Backend Developer. Complete security awareness training. Complete mandatory security and acceptable-use training before full access is granted.. Owner: Security.
